id,sexo,edad_cat,region,nivel_educativo,imagen
558,masculino,30-44,Región NOA,terc,positiva
559,femenino,45-59,Región NOA,sec,positiva
560,femenino,45-59,Región NEA,sec,negativa
561,masculino,30-44,Región Pampeana,univ,positiva
562,masculino,30-44,Región Metropolitana,sec,positiva
563,masculino,30-44,Región Cuyo,sec,negativa
564,masculino,60+,Región NOA,prim,negativa
565,masculino,30-44,Región Pampeana,prim,negativa
566,femenino,16-29,Región Metropolitana,sec,negativa
567,masculino,16-29,Región Metropolitana,prim,positiva
568,femenino,60+,Región NEA,prim,negativa
569,masculino,16-29,Región Cuyo,prim,negativa
570,femenino,16-29,Región Metropolitana,univ,positiva
571,femenino,45-59,Región Pampeana,prim,negativa
572,masculino,45-59,Región Pampeana,terc,negativa
573,masculino,16-29,Región Pampeana,prim,positiva
574,femenino,45-59,Región Metropolitana,sec,negativa
575,femenino,45-59,Región Cuyo,sec,negativa
576,masculino,30-44,Región NOA,pos,negativa
577,masculino,30-44,Región Metropolitana,terc,positiva
578,masculino,45-59,Región Metropolitana,terc,positiva
579,femenino,16-29,Región Pampeana,sec,positiva
580,femenino,16-29,Región Pampeana,prim,negativa
581,femenino,30-44,Región NOA,univ,negativa
582,masculino,30-44,Región Metropolitana,prim,positiva
583,femenino,16-29,Región Metropolitana,univ,negativa
584,masculino,30-44,Región Pampeana,sec,positiva
585,masculino,16-29,Región Pampeana,univ,positiva
586,masculino,30-44,Región Cuyo,sec,negativa
587,femenino,16-29,Región NOA,prim,positiva
588,masculino,16-29,Región Metropolitana,sec,positiva
589,femenino,30-44,Región NEA,sec,positiva
590,masculino,16-29,Región Cuyo,prim,negativa
591,femenino,45-59,Región Patagonia,sec,positiva
592,masculino,30-44,Región Pampeana,prim,positiva
593,femenino,60+,Región Metropolitana,terc,negativa
594,masculino,30-44,Región Metropolitana,sec,negativa
595,femenino,60+,Región Metropolitana,sec,negativa
596,masculino,16-29,Región Metropolitana,sec,positiva
597,masculino,30-44,Región Cuyo,pos,negativa
598,masculino,45-59,Región Pampeana,terc,negativa
599,femenino,45-59,Región Metropolitana,sec,positiva
600,femenino,16-29,Región Patagonia,univ,negativa
601,masculino,30-44,Región Metropolitana,sec,positiva
602,masculino,30-44,Región Pampeana,sec,positiva
603,masculino,16-29,Región NOA,univ,positiva
604,femenino,30-44,Región Pampeana,sec,negativa
605,femenino,45-59,Región Pampeana,prim,negativa
606,femenino,60+,Región Metropolitana,prim,positiva
607,femenino,30-44,Región Metropolitana,sec,positiva
608,masculino,30-44,Región Pampeana,pos,negativa
609,masculino,30-44,Región NEA,sec,negativa
610,masculino,16-29,Región Pampeana,sec,positiva
611,femenino,45-59,Región NOA,sec,positiva
612,femenino,60+,Región Cuyo,prim,negativa
613,masculino,30-44,Región NEA,sec,negativa
614,femenino,30-44,Región Metropolitana,prim,positiva
615,femenino,16-29,Región Pampeana,sec,positiva
616,femenino,16-29,Región Metropolitana,prim,negativa
617,masculino,45-59,Región NEA,sec,negativa
618,masculino,16-29,Región Metropolitana,sec,positiva
619,femenino,30-44,Región Metropolitana,sec,negativa
620,masculino,30-44,Región NOA,univ,positiva
621,femenino,45-59,Región Metropolitana,prim,positiva
622,femenino,30-44,Región Metropolitana,prim,positiva
623,femenino,30-44,Región Metropolitana,sec,positiva
624,masculino,60+,Región Metropolitana,univ,positiva
625,femenino,16-29,Región Pampeana,sec,negativa
626,masculino,30-44,Región Metropolitana,sec,negativa
627,femenino,60+,Región Pampeana,sec,positiva
628,masculino,16-29,Región Metropolitana,sec,positiva
629,femenino,30-44,Región Metropolitana,prim,negativa
630,masculino,16-29,Región NOA,sec,positiva
631,femenino,16-29,Región Metropolitana,univ,positiva
632,femenino,16-29,Región NEA,sec,positiva
633,femenino,16-29,Región Metropolitana,prim,positiva
634,femenino,16-29,Región Metropolitana,prim,negativa
635,femenino,30-44,Región Pampeana,sec,negativa
636,masculino,45-59,Región NOA,sec,positiva
637,femenino,16-29,Región NEA,sec,positiva
638,femenino,16-29,Región Metropolitana,univ,positiva
639,femenino,60+,Región Pampeana,terc,negativa
640,femenino,30-44,Región NOA,prim,positiva
641,masculino,16-29,Región Metropolitana,prim,positiva
642,femenino,16-29,Región Pampeana,sec,positiva
643,masculino,30-44,Región NEA,sec,positiva
644,masculino,30-44,Región Metropolitana,univ,negativa
645,masculino,30-44,Región Metropolitana,terc,positiva
646,masculino,16-29,Región Pampeana,sec,negativa
647,femenino,45-59,Región Cuyo,sec,negativa
648,masculino,16-29,Región NEA,prim,positiva
649,femenino,45-59,Región Patagonia,prim,negativa
650,masculino,30-44,Región Patagonia,sec,positiva
651,femenino,60+,Región Metropolitana,sec,negativa
652,masculino,45-59,Región Metropolitana,sec,negativa
653,masculino,30-44,Región Metropolitana,sec,negativa
654,femenino,16-29,Región NOA,sec,negativa
655,masculino,30-44,Región NEA,sec,negativa
656,femenino,16-29,Región Pampeana,sec,positiva
657,masculino,30-44,Región Metropolitana,prim,negativa
658,masculino,45-59,Región Metropolitana,univ,positiva
659,femenino,16-29,Región NEA,sec,negativa
660,masculino,16-29,Región Metropolitana,prim,positiva
661,masculino,30-44,Región Pampeana,pos,negativa
662,femenino,45-59,Región Metropolitana,pos,positiva
663,masculino,16-29,Región Pampeana,prim,negativa
664,femenino,30-44,Región Metropolitana,sec,positiva
665,femenino,30-44,Región NOA,sec,positiva
666,masculino,30-44,Región NOA,sec,negativa
667,femenino,30-44,Región NOA,sec,negativa
668,masculino,30-44,Región NOA,univ,positiva
669,femenino,16-29,Región NEA,sec,positiva
670,masculino,16-29,Región Metropolitana,sec,positiva
671,masculino,30-44,Región Metropolitana,sec,negativa
672,masculino,30-44,Región Patagonia,terc,positiva
673,masculino,16-29,Región Metropolitana,sec,negativa
674,masculino,30-44,Región NEA,sec,positiva
675,femenino,16-29,Región Metropolitana,univ,positiva
676,femenino,45-59,Región Pampeana,prim,negativa
677,femenino,16-29,Región NEA,sec,positiva
678,masculino,16-29,Región NEA,sec,positiva
679,masculino,60+,Región NEA,prim,negativa
680,masculino,45-59,Región NOA,prim,positiva
681,femenino,60+,Región Metropolitana,sec,positiva
682,femenino,45-59,Región NOA,pos,negativa
683,femenino,16-29,Región Metropolitana,sec,positiva
684,femenino,30-44,Región NOA,univ,negativa
685,masculino,45-59,Región Pampeana,sec,positiva
686,femenino,16-29,Región Metropolitana,sec,positiva
687,femenino,45-59,Región NOA,terc,negativa
688,femenino,30-44,Región Metropolitana,prim,positiva
689,masculino,30-44,Región Pampeana,univ,negativa
690,femenino,45-59,Región Metropolitana,sec,negativa
691,masculino,45-59,Región Metropolitana,prim,positiva
692,femenino,45-59,Región NEA,sec,negativa
693,masculino,60+,Región Patagonia,sec,positiva
694,masculino,16-29,Región Patagonia,prim,negativa
695,masculino,30-44,Región Metropolitana,sec,positiva
696,femenino,16-29,Región NEA,sec,positiva
697,femenino,16-29,Región Patagonia,sec,positiva
698,femenino,60+,Región Metropolitana,prim,negativa
699,masculino,30-44,Región Metropolitana,terc,negativa
700,femenino,16-29,Región Metropolitana,sec,negativa
701,masculino,30-44,Región Metropolitana,prim,positiva
702,femenino,16-29,Región NOA,prim,negativa
703,masculino,45-59,Región Metropolitana,terc,positiva
704,femenino,60+,Región Metropolitana,prim,negativa
705,femenino,30-44,Región Metropolitana,sec,positiva
706,masculino,16-29,Región Pampeana,prim,positiva
707,masculino,16-29,Región NEA,univ,positiva
708,masculino,16-29,Región Metropolitana,sec,negativa
709,masculino,16-29,Región Metropolitana,prim,positiva
710,masculino,16-29,Región Metropolitana,sec,positiva
711,masculino,45-59,Región Metropolitana,sec,positiva
712,femenino,16-29,Región Pampeana,sec,negativa
713,masculino,16-29,Región Metropolitana,sec,negativa
714,masculino,30-44,Región Pampeana,terc,positiva
715,femenino,30-44,Región Cuyo,sec,positiva
716,masculino,30-44,Región Metropolitana,prim,negativa
717,femenino,30-44,Región Metropolitana,univ,positiva
718,femenino,16-29,Región Metropolitana,univ,positiva
719,femenino,16-29,Región Patagonia,terc,positiva
720,femenino,30-44,Región Metropolitana,sec,positiva
721,masculino,30-44,Región Patagonia,prim,positiva
722,femenino,16-29,Región NOA,sec,positiva
723,femenino,45-59,Región Metropolitana,prim,negativa
724,femenino,45-59,Región Pampeana,prim,negativa
725,masculino,16-29,Región Pampeana,univ,positiva
726,femenino,45-59,Región Cuyo,sec,negativa
727,femenino,16-29,Región Pampeana,sec,positiva
728,masculino,60+,Región Pampeana,univ,negativa
729,masculino,30-44,Región Metropolitana,terc,negativa
730,masculino,30-44,Región Pampeana,sec,negativa
731,masculino,45-59,Región Metropolitana,prim,positiva
732,femenino,45-59,Región Pampeana,sec,negativa
733,femenino,16-29,Región Pampeana,sec,positiva
734,femenino,16-29,Región Metropolitana,prim,negativa
735,femenino,16-29,Región Metropolitana,prim,positiva
736,femenino,45-59,Región NOA,sec,negativa
737,femenino,30-44,Región Cuyo,pos,positiva
738,femenino,30-44,Región Metropolitana,prim,negativa
739,femenino,16-29,Región Pampeana,sec,positiva
740,femenino,30-44,Región Pampeana,terc,negativa
741,femenino,60+,Región NOA,sec,negativa
742,femenino,30-44,Región Metropolitana,sec,positiva
743,masculino,30-44,Región Metropolitana,prim,positiva
744,femenino,60+,Región Metropolitana,prim,positiva
745,masculino,30-44,Región NEA,prim,positiva
746,femenino,16-29,Región Metropolitana,sec,positiva
747,masculino,16-29,Región Patagonia,prim,negativa
748,femenino,60+,Región Pampeana,sec,positiva
749,femenino,60+,Región Pampeana,univ,positiva
750,femenino,45-59,Región Cuyo,sec,negativa
751,masculino,60+,Región NEA,terc,negativa
752,femenino,16-29,Región Metropolitana,prim,negativa
753,femenino,30-44,Región Pampeana,sec,negativa
754,masculino,16-29,Región Metropolitana,univ,positiva
755,femenino,16-29,Región Metropolitana,prim,positiva
756,femenino,30-44,Región Metropolitana,prim,positiva
757,masculino,45-59,Región Metropolitana,prim,positiva
758,femenino,60+,Región Pampeana,prim,positiva
759,femenino,45-59,Región Patagonia,prim,positiva
760,femenino,16-29,Región Metropolitana,sec,positiva
761,masculino,30-44,Región Metropolitana,sec,negativa
762,masculino,16-29,Región Pampeana,sec,negativa
763,masculino,30-44,Región Patagonia,prim,negativa
764,femenino,30-44,Región Metropolitana,sec,negativa
765,femenino,30-44,Región Pampeana,terc,positiva
766,femenino,30-44,Región Pampeana,prim,negativa
767,masculino,16-29,Región Metropolitana,sec,positiva
768,femenino,60+,Región Cuyo,terc,positiva
769,femenino,16-29,Región Pampeana,sec,positiva
770,masculino,16-29,Región Pampeana,prim,positiva
771,masculino,16-29,Región Metropolitana,pos,negativa
772,femenino,16-29,Región NEA,univ,negativa
773,masculino,16-29,Región NOA,sec,positiva
774,femenino,30-44,Región NOA,sec,negativa
775,masculino,30-44,Región NEA,terc,negativa
776,femenino,60+,Región Metropolitana,sec,negativa
777,femenino,16-29,Región Metropolitana,sec,positiva
778,femenino,16-29,Región Pampeana,sec,negativa
779,femenino,30-44,Región Metropolitana,terc,negativa
780,masculino,45-59,Región Pampeana,prim,positiva
781,masculino,45-59,Región Metropolitana,terc,negativa
782,masculino,16-29,Región NOA,sec,negativa
783,femenino,30-44,Región Pampeana,univ,positiva
784,masculino,16-29,Región NOA,terc,negativa
785,femenino,30-44,Región Metropolitana,sec,negativa
786,femenino,60+,Región Metropolitana,sec,positiva
787,femenino,45-59,Región Pampeana,sec,negativa
788,masculino,16-29,Región Metropolitana,prim,positiva
789,masculino,45-59,Región Metropolitana,prim,positiva
790,masculino,30-44,Región Patagonia,sec,negativa
791,femenino,30-44,Región Metropolitana,sec,negativa
792,femenino,16-29,Región Pampeana,prim,negativa
793,femenino,60+,Región Patagonia,sec,positiva
794,femenino,30-44,Región Cuyo,sec,positiva
795,femenino,45-59,Región Metropolitana,sec,positiva
796,femenino,45-59,Región Metropolitana,sec,positiva
797,masculino,16-29,Región Metropolitana,sec,positiva
798,femenino,60+,Región Metropolitana,sec,positiva
799,masculino,30-44,Región Metropolitana,terc,negativa
800,femenino,30-44,Región Metropolitana,prim,negativa
801,masculino,45-59,Región Pampeana,prim,negativa
802,masculino,16-29,Región NEA,sec,negativa
803,femenino,30-44,Región Pampeana,sec,positiva
804,masculino,16-29,Región Metropolitana,terc,positiva
805,masculino,45-59,Región Pampeana,sec,positiva
806,masculino,45-59,Región Pampeana,univ,positiva
807,femenino,16-29,Región Metropolitana,terc,positiva
808,femenino,30-44,Región Metropolitana,prim,positiva
809,masculino,45-59,Región Metropolitana,sec,positiva
810,masculino,30-44,Región NOA,sec,negativa
811,femenino,30-44,Región Cuyo,univ,negativa
812,masculino,60+,Región Patagonia,sec,negativa
813,masculino,16-29,Región Metropolitana,sec,negativa
814,masculino,30-44,Región Metropolitana,terc,positiva
815,masculino,16-29,Región NEA,sec,negativa
816,femenino,16-29,Región NOA,univ,positiva
817,femenino,60+,Región NOA,univ,positiva
818,masculino,16-29,Región Metropolitana,prim,positiva
819,masculino,30-44,Región Pampeana,sec,positiva
820,femenino,30-44,Región Pampeana,terc,positiva
821,masculino,16-29,Región Metropolitana,prim,negativa
822,masculino,30-44,Región NOA,sec,negativa
823,masculino,16-29,Región Pampeana,pos,positiva
824,masculino,45-59,Región Metropolitana,prim,positiva
825,femenino,30-44,Región Pampeana,sec,positiva
826,masculino,16-29,Región Metropolitana,terc,positiva
827,masculino,45-59,Región Pampeana,sec,negativa
828,femenino,16-29,Región Metropolitana,sec,negativa
829,masculino,45-59,Región Metropolitana,sec,negativa
830,masculino,30-44,Región NOA,sec,negativa
831,femenino,30-44,Región Pampeana,terc,negativa
832,masculino,30-44,Región Pampeana,univ,negativa
833,femenino,16-29,Región Metropolitana,sec,positiva
834,masculino,16-29,Región Pampeana,pos,negativa
835,femenino,16-29,Región Metropolitana,univ,positiva
836,femenino,45-59,Región Metropolitana,sec,negativa
837,femenino,16-29,Región NOA,sec,negativa
838,masculino,60+,Región Metropolitana,prim,negativa
839,femenino,60+,Región Pampeana,sec,negativa
840,femenino,16-29,Región Metropolitana,prim,negativa
841,masculino,16-29,Región Metropolitana,terc,negativa
842,femenino,30-44,Región Pampeana,sec,negativa
843,masculino,16-29,Región Pampeana,prim,negativa
844,masculino,16-29,Región Metropolitana,univ,positiva
845,femenino,30-44,Región Metropolitana,sec,negativa
846,masculino,60+,Región NOA,sec,positiva
847,femenino,45-59,Región Metropolitana,sec,negativa
848,femenino,30-44,Región Cuyo,terc,negativa
849,femenino,45-59,Región NOA,univ,negativa
850,femenino,60+,Región Metropolitana,prim,negativa
851,femenino,30-44,Región Metropolitana,prim,positiva
852,femenino,16-29,Región NOA,terc,negativa
853,masculino,16-29,Región Patagonia,prim,negativa
854,masculino,30-44,Región NOA,sec,positiva
855,masculino,30-44,Región NOA,prim,negativa
856,femenino,16-29,Región Metropolitana,prim,positiva
857,masculino,45-59,Región NEA,terc,positiva
858,femenino,30-44,Región Pampeana,sec,positiva
859,masculino,16-29,Región NEA,prim,positiva
860,femenino,30-44,Región Metropolitana,sec,negativa
861,masculino,16-29,Región NOA,terc,negativa
862,masculino,16-29,Región Pampeana,univ,negativa
863,masculino,60+,Región Metropolitana,sec,negativa
864,femenino,30-44,Región Cuyo,sec,positiva
865,masculino,30-44,Región Metropolitana,sec,positiva
866,femenino,45-59,Región Metropolitana,sec,negativa
867,femenino,16-29,Región Pampeana,sec,negativa
868,femenino,16-29,Región Metropolitana,sec,positiva
869,masculino,60+,Región Pampeana,prim,negativa
870,masculino,16-29,Región Metropolitana,sec,positiva
871,masculino,60+,Región Metropolitana,sec,positiva
872,masculino,45-59,Región Cuyo,prim,negativa
873,masculino,30-44,Región Metropolitana,prim,positiva
874,masculino,45-59,Región Cuyo,sec,negativa
875,femenino,60+,Región Patagonia,sec,positiva
876,masculino,16-29,Región Metropolitana,sec,positiva
877,masculino,45-59,Región Metropolitana,sec,positiva
878,femenino,30-44,Región Metropolitana,sec,negativa
879,masculino,16-29,Región Cuyo,sec,negativa
880,masculino,30-44,Región Pampeana,sec,negativa
881,femenino,16-29,Región Metropolitana,sec,positiva
882,femenino,16-29,Región NOA,prim,negativa
883,femenino,60+,Región Metropolitana,prim,negativa
884,masculino,30-44,Región NEA,prim,negativa
885,femenino,60+,Región Pampeana,terc,positiva
886,femenino,45-59,Región Metropolitana,sec,negativa
887,masculino,30-44,Región Patagonia,univ,positiva
888,masculino,30-44,Región Metropolitana,sec,positiva
889,femenino,16-29,Región Pampeana,univ,positiva
890,femenino,60+,Región Metropolitana,prim,negativa
891,femenino,45-59,Región Metropolitana,prim,negativa
892,femenino,30-44,Región Metropolitana,sec,negativa
893,masculino,30-44,Región NOA,prim,negativa
894,femenino,30-44,Región Metropolitana,univ,positiva
895,femenino,45-59,Región Pampeana,sec,negativa
896,femenino,30-44,Región Pampeana,prim,positiva
897,masculino,60+,Región NOA,sec,negativa
898,femenino,16-29,Región Patagonia,sec,positiva
899,femenino,45-59,Región Patagonia,sec,positiva
900,masculino,60+,Región Pampeana,terc,negativa
901,masculino,16-29,Región Pampeana,prim,positiva
902,masculino,45-59,Región NEA,terc,negativa
903,femenino,60+,Región Cuyo,univ,negativa
904,masculino,30-44,Región Metropolitana,sec,negativa
905,femenino,16-29,Región Metropolitana,terc,positiva
906,masculino,60+,Región Metropolitana,sec,negativa
907,femenino,30-44,Región Pampeana,sec,positiva
908,masculino,30-44,Región Metropolitana,sec,negativa
909,femenino,16-29,Región Pampeana,sec,positiva
910,masculino,30-44,Región Metropolitana,prim,positiva
911,femenino,45-59,Región Metropolitana,terc,negativa
912,masculino,60+,Región Metropolitana,sec,positiva
913,masculino,16-29,Región Metropolitana,sec,negativa
914,femenino,45-59,Región NEA,terc,negativa
915,masculino,30-44,Región Metropolitana,sec,positiva
916,femenino,30-44,Región Metropolitana,sec,negativa
917,masculino,45-59,Región Metropolitana,sec,negativa
918,masculino,45-59,Región Metropolitana,prim,negativa
919,femenino,30-44,Región Pampeana,prim,negativa
920,femenino,16-29,Región Metropolitana,sec,positiva
921,masculino,60+,Región Cuyo,prim,negativa
922,masculino,60+,Región NOA,sec,positiva
923,masculino,16-29,Región Metropolitana,prim,negativa
924,masculino,30-44,Región Metropolitana,sec,positiva
925,masculino,60+,Región Metropolitana,sec,negativa
926,masculino,16-29,Región Metropolitana,sec,negativa
927,masculino,16-29,Región NEA,sec,positiva
928,masculino,30-44,Región Cuyo,sec,positiva
929,masculino,16-29,Región Metropolitana,prim,positiva
930,femenino,30-44,Región Metropolitana,prim,positiva
931,masculino,30-44,Región Metropolitana,prim,negativa
932,femenino,16-29,Región Patagonia,sec,positiva
933,femenino,30-44,Región Metropolitana,univ,negativa
934,femenino,16-29,Región Metropolitana,prim,positiva
935,femenino,60+,Región NEA,sec,negativa
936,masculino,16-29,Región Metropolitana,terc,positiva
937,femenino,16-29,Región Metropolitana,univ,negativa
938,femenino,60+,Región Metropolitana,sec,positiva
939,masculino,60+,Región Metropolitana,prim,negativa
940,masculino,16-29,Región Metropolitana,terc,negativa
941,masculino,60+,Región Metropolitana,sec,negativa
942,masculino,16-29,Región Pampeana,terc,positiva
943,femenino,60+,Región NEA,univ,positiva
944,masculino,16-29,Región NOA,terc,positiva
945,femenino,16-29,Región NOA,sec,negativa
946,masculino,16-29,Región Metropolitana,sec,negativa
947,femenino,16-29,Región Metropolitana,prim,positiva
948,masculino,30-44,Región Metropolitana,sec,negativa
949,femenino,16-29,Región Metropolitana,sec,negativa
950,femenino,60+,Región NOA,sec,negativa
951,femenino,16-29,Región Metropolitana,prim,negativa
952,femenino,60+,Región Pampeana,sec,negativa
953,femenino,60+,Región Metropolitana,sec,negativa
954,masculino,16-29,Región Pampeana,sec,negativa
955,masculino,30-44,Región Pampeana,terc,negativa
956,masculino,30-44,Región Pampeana,terc,negativa
957,femenino,30-44,Región Pampeana,univ,positiva
958,masculino,30-44,Región Pampeana,terc,positiva
959,femenino,30-44,Región Pampeana,univ,positiva
960,masculino,30-44,Región NOA,sec,negativa
961,masculino,16-29,Región NOA,sec,negativa
962,femenino,16-29,Región Pampeana,prim,negativa
963,femenino,30-44,Región Metropolitana,prim,negativa
964,femenino,30-44,Región Patagonia,prim,positiva
965,masculino,30-44,Región Metropolitana,sec,negativa
966,masculino,45-59,Región NOA,prim,negativa
967,femenino,16-29,Región Metropolitana,pos,positiva
968,masculino,60+,Región Metropolitana,prim,negativa
969,femenino,45-59,Región Metropolitana,prim,positiva
970,femenino,16-29,Región Pampeana,terc,positiva
971,masculino,16-29,Región Metropolitana,sec,negativa
972,masculino,16-29,Región NOA,sec,positiva
973,masculino,16-29,Región NEA,univ,positiva
974,femenino,45-59,Región Metropolitana,prim,negativa
975,femenino,45-59,Región Cuyo,sec,negativa
976,femenino,16-29,Región Metropolitana,sec,positiva
977,masculino,60+,Región Pampeana,prim,negativa
978,masculino,60+,Región NOA,sec,negativa
979,femenino,30-44,Región Metropolitana,univ,positiva
980,femenino,30-44,Región NEA,terc,negativa
981,femenino,60+,Región Pampeana,sec,negativa
982,femenino,30-44,Región NEA,prim,negativa
983,femenino,30-44,Región Metropolitana,sec,positiva
984,masculino,45-59,Región Metropolitana,sec,positiva
985,masculino,16-29,Región Cuyo,univ,positiva
986,femenino,16-29,Región Pampeana,sec,negativa
987,masculino,16-29,Región Metropolitana,terc,negativa
988,masculino,30-44,Región Metropolitana,prim,positiva
989,masculino,16-29,Región Metropolitana,univ,negativa
990,femenino,60+,Región Pampeana,sec,negativa
991,masculino,16-29,Región Patagonia,sec,positiva
992,femenino,16-29,Región Cuyo,terc,negativa
993,masculino,16-29,Región Pampeana,terc,positiva
994,masculino,60+,Región Cuyo,sec,negativa
995,masculino,45-59,Región Metropolitana,prim,positiva
996,femenino,30-44,Región Metropolitana,sec,negativa
997,masculino,60+,Región Pampeana,sec,negativa
998,femenino,16-29,Región Metropolitana,sec,negativa
999,masculino,60+,Región Metropolitana,prim,positiva
1000,masculino,30-44,Región NEA,sec,positiva
1001,femenino,16-29,Región NOA,prim,positiva
1002,femenino,45-59,Región Metropolitana,sec,negativa
1003,femenino,45-59,Región Metropolitana,terc,positiva
1004,femenino,30-44,Región NOA,sec,positiva
1005,femenino,30-44,Región Metropolitana,pos,negativa
1006,masculino,60+,Región Metropolitana,prim,negativa
1007,femenino,16-29,Región Patagonia,prim,positiva
1008,femenino,16-29,Región Metropolitana,sec,negativa
1009,femenino,30-44,Región NEA,sec,negativa
1010,femenino,16-29,Región NEA,sec,positiva
1011,masculino,60+,Región Metropolitana,sec,negativa
1012,femenino,16-29,Región NEA,sec,negativa
1013,masculino,60+,Región Metropolitana,sec,positiva
1014,masculino,30-44,Región Pampeana,terc,positiva
1015,femenino,16-29,Región NEA,sec,positiva
1016,masculino,16-29,Región NEA,sec,positiva
1017,masculino,60+,Región Pampeana,sec,negativa
1018,femenino,16-29,Región Metropolitana,prim,positiva
1019,femenino,16-29,Región NOA,sec,negativa
1020,masculino,60+,Región Metropolitana,sec,negativa
1021,masculino,45-59,Región Metropolitana,terc,negativa
1022,masculino,16-29,Región NOA,terc,positiva
1023,femenino,30-44,Región NOA,sec,positiva
1024,masculino,30-44,Región Metropolitana,terc,negativa
1025,masculino,30-44,Región Cuyo,terc,negativa
1026,femenino,16-29,Región Metropolitana,sec,negativa
1027,femenino,60+,Región Metropolitana,terc,negativa
1028,femenino,16-29,Región Pampeana,univ,negativa
1029,masculino,16-29,Región Metropolitana,prim,positiva
1030,femenino,45-59,Región Pampeana,prim,positiva
1031,masculino,30-44,Región Metropolitana,prim,positiva
1032,masculino,45-59,Región Metropolitana,prim,negativa
1033,masculino,16-29,Región Metropolitana,terc,positiva
1034,masculino,16-29,Región Metropolitana,sec,negativa
1035,masculino,60+,Región Cuyo,sec,positiva
1036,masculino,16-29,Región Pampeana,sec,positiva
1037,masculino,45-59,Región Metropolitana,sec,negativa
1038,femenino,45-59,Región Metropolitana,sec,positiva
1039,femenino,16-29,Región Metropolitana,prim,positiva
1040,masculino,16-29,Región NEA,prim,positiva
1041,masculino,30-44,Región Cuyo,sec,positiva
1042,femenino,16-29,Región Pampeana,sec,positiva
1043,masculino,60+,Región Metropolitana,univ,positiva
1044,masculino,16-29,Región Metropolitana,sec,positiva
1045,femenino,30-44,Región Metropolitana,sec,negativa
1046,masculino,16-29,Región Pampeana,terc,positiva
1047,femenino,45-59,Región NOA,pos,negativa
1048,masculino,16-29,Región Metropolitana,terc,negativa
1049,femenino,16-29,Región Metropolitana,terc,positiva
1050,masculino,16-29,Región NEA,sec,positiva
1051,masculino,45-59,Región Metropolitana,prim,negativa
1052,masculino,16-29,Región Metropolitana,sec,negativa
1053,femenino,30-44,Región Metropolitana,sec,negativa
1054,masculino,16-29,Región Cuyo,terc,positiva
1055,femenino,16-29,Región Metropolitana,univ,positiva
1056,femenino,30-44,Región Metropolitana,sec,positiva
1057,masculino,45-59,Región Metropolitana,prim,positiva
1058,masculino,16-29,Región Cuyo,sec,negativa
1059,masculino,30-44,Región Pampeana,sec,negativa
1060,femenino,60+,Región Metropolitana,sec,positiva
1061,masculino,60+,Región Pampeana,sec,positiva
1062,masculino,60+,Región Pampeana,terc,negativa
1063,masculino,16-29,Región Metropolitana,prim,negativa
1064,femenino,30-44,Región Pampeana,sec,positiva
1065,femenino,45-59,Región Patagonia,prim,positiva
1066,masculino,45-59,Región Pampeana,terc,negativa
1067,masculino,30-44,Región Cuyo,univ,positiva
1068,masculino,16-29,Región Cuyo,sec,positiva
1069,masculino,16-29,Región Cuyo,sec,positiva
1070,masculino,16-29,Región Cuyo,prim,positiva
1071,masculino,60+,Región Pampeana,sec,negativa
1072,femenino,60+,Región NOA,prim,positiva
1073,masculino,30-44,Región NEA,prim,negativa
1074,masculino,16-29,Región Pampeana,sec,negativa
1075,femenino,45-59,Región Metropolitana,sec,negativa
1076,femenino,30-44,Región Cuyo,sec,negativa
1077,femenino,30-44,Región Cuyo,prim,positiva
1078,femenino,16-29,Región Metropolitana,sec,positiva
1079,masculino,16-29,Región NOA,prim,negativa
1080,femenino,16-29,Región Metropolitana,univ,positiva
1081,femenino,16-29,Región NEA,prim,positiva
1082,masculino,30-44,Región Cuyo,terc,positiva
1083,masculino,45-59,Región Pampeana,prim,negativa
1084,masculino,30-44,Región NEA,prim,negativa
1085,masculino,45-59,Región Metropolitana,prim,negativa
1086,masculino,16-29,Región Metropolitana,prim,negativa
1087,femenino,16-29,Región Metropolitana,sec,positiva
1088,masculino,16-29,Región NOA,prim,negativa
1089,masculino,60+,Región Patagonia,sec,negativa
1090,femenino,45-59,Región Metropolitana,sec,negativa
1091,masculino,30-44,Región Metropolitana,sec,positiva
1092,masculino,16-29,Región Metropolitana,prim,negativa
1093,masculino,30-44,Región Metropolitana,sec,positiva
1094,masculino,45-59,Región Pampeana,sec,positiva
1095,masculino,16-29,Región NOA,pos,negativa
1096,femenino,60+,Región Patagonia,prim,negativa
1097,femenino,16-29,Región Pampeana,prim,negativa
1098,masculino,45-59,Región Pampeana,sec,negativa
1099,masculino,45-59,Región Metropolitana,univ,negativa
1100,masculino,45-59,Región NOA,prim,negativa
1101,masculino,16-29,Región Metropolitana,prim,negativa
1102,masculino,16-29,Región NEA,prim,positiva
1103,masculino,30-44,Región Cuyo,sec,negativa
1104,femenino,45-59,Región Metropolitana,prim,positiva
1105,femenino,16-29,Región NEA,prim,negativa
1106,masculino,30-44,Región Metropolitana,prim,negativa
1107,masculino,16-29,Región Pampeana,prim,positiva
1108,femenino,45-59,Región Metropolitana,sec,positiva
1109,femenino,30-44,Región Metropolitana,sec,positiva
1110,femenino,45-59,Región Pampeana,sec,negativa
1111,masculino,16-29,Región Pampeana,prim,negativa
1112,masculino,30-44,Región Pampeana,sec,negativa
1113,femenino,45-59,Región NEA,prim,positiva
